"Status","Name","Duration in ms","Description"
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","5",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","5",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","1",""
"failed","core.PrimeNumberCheckerTest.test","6",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","1",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","6",""
"failed","core.PrimeNumberCheckerTest.test","24",""
"failed","core.PrimeNumberCheckerTest.test","7",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","6",""
"passed","core.PrimeNumberCheckerTest.test","10",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","12",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","1",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","5",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","6",""
"passed","core.PrimeNumberCheckerTest.test","62",""
"failed","core.PrimeNumberCheckerTest.test","6",""
"failed","core.PrimeNumberCheckerTest.test","6",""
"failed","core.PrimeNumberCheckerTest.test","12",""
"failed","core.PrimeNumberCheckerTest.test","5",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","11",""
"passed","core.PrimeNumberCheckerTest.test","1",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","6",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","7",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","17",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","4",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","7",""
"passed","core.PrimeNumberCheckerTest.test","45",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","5",""
"failed","core.PrimeNumberCheckerTest.test","3",""
"failed","core.PrimeNumberCheckerTest.test","5",""
"failed","core.PrimeNumberCheckerTest.test","2",""
"failed","core.PrimeNumberCheckerTest.test","5",""
